#Variables:
#tasmax (K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Point Location: 42.28125 Latitude, -116.78125 Longitude (closest value to Latitude:42.28125, Longitude:-116.78125) "
#Original Data File(s):
#macav2livneh_tasmax_CCSM4_r6i1p1_historical_1990_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax (K)
1990-04-10,300.724
1990-04-11,300.807
1990-04-12,300.281
1990-04-13,299.888
1990-04-14,297.355
1990-04-15,300.921
1990-04-16,303.995
1990-04-17,302.219
1990-04-18,299.899
1990-04-19,298.63
1990-04-20,294.792
1990-04-21,296.138
1990-04-22,296.887
1990-04-23,297.191
1990-04-24,298.881
1990-04-25,297.443
1990-04-26,293.969
1990-04-27,297.966
1990-04-28,298.493
1990-04-29,302.823
1990-04-30,299.528
1990-05-01,302.409
1990-05-02,302.573
1990-05-03,304.469
1990-05-04,304.462
1990-05-05,302.502
1990-05-06,302.046
1990-05-07,300.513
1990-05-08,304.222
1990-05-09,304.491
1990-05-10,307.289
1990-05-11,307.692
1990-05-12,307.935
1990-05-13,307.04
1990-05-14,306.506
1990-05-15,306.001
1990-05-16,305.011
1990-05-17,305.532
1990-05-18,306.151
1990-05-19,305.847
1990-05-20,303.138
1990-05-21,304.549
1990-05-22,304.69
1990-05-23,304.019
1990-05-24,305.877
1990-05-25,307.66
1990-05-26,308.232
1990-05-27,306.83
1990-05-28,300.841
1990-05-29,301.0
1990-05-30,302.335
1990-05-31,302.93
1990-06-01,303.811
1990-06-02,299.45
1990-06-03,305.062
1990-06-04,306.103
1990-06-05,307.525
1990-06-06,310.248
1990-06-07,309.709
1990-06-08,309.07
1990-06-09,307.929
1990-06-10,308.782
1990-06-11,307.342
1990-06-12,305.787
1990-06-13,308.871
1990-06-14,307.534
1990-06-15,307.988
1990-06-16,307.526
1990-06-17,302.57
1990-06-18,308.2
1990-06-19,309.192
1990-06-20,309.611
1990-06-21,309.6
1990-06-22,308.278
1990-06-23,297.056
1990-06-24,300.749
1990-06-25,301.899
1990-06-26,303.108
1990-06-27,304.163
1990-06-28,305.589
1990-06-29,307.419
1990-06-30,305.589
1990-07-01,304.324
1990-07-02,307.148
1990-07-03,307.526
1990-07-04,309.675
1990-07-05,308.337
1990-07-06,307.225
1990-07-07,311.099
1990-07-08,310.284
1990-07-09,303.114
1990-07-10,302.173
1990-07-11,302.863
1990-07-12,305.864
1990-07-13,308.41
1990-07-14,308.032
1990-07-15,303.55
1990-07-16,305.047
1990-07-17,307.346
1990-07-18,309.131
1990-07-19,306.963
1990-07-20,304.645
1990-07-21,309.597
1990-07-22,311.133
1990-07-23,309.022
1990-07-24,301.788
1990-07-25,303.721
1990-07-26,304.854
1990-07-27,308.393
1990-07-28,309.245
1990-07-29,309.366
1990-07-30,305.86
1990-07-31,307.531
1990-08-01,309.718
1990-08-02,305.885
1990-08-03,304.624
1990-08-04,304.376
1990-08-05,308.456
1990-08-06,310.308
1990-08-07,310.122
1990-08-08,308.158
1990-08-09,306.114
1990-08-10,308.269
1990-08-11,309.055
1990-08-12,307.048
1990-08-13,302.684
1990-08-14,303.662
1990-08-15,304.858
1990-08-16,302.979
1990-08-17,305.047
1990-08-18,305.126
1990-08-19,303.261
1990-08-20,305.179
1990-08-21,305.725
1990-08-22,304.482
1990-08-23,302.665
1990-08-24,300.67
1990-08-25,303.585
1990-08-26,302.658
1990-08-27,298.066
1990-08-28,296.424
1990-08-29,302.268
1990-08-30,303.714
1990-08-31,305.083
1990-09-01,305.372
1990-09-02,305.103
1990-09-03,303.142
1990-09-04,301.62
1990-09-05,302.717
1990-09-06,301.986
1990-09-07,297.744
1990-09-08,294.973
1990-09-09,299.453
1990-09-10,299.667
1990-09-11,297.688
1990-09-12,296.612
1990-09-13,299.773
1990-09-14,302.279
1990-09-15,304.333
1990-09-16,303.743
1990-09-17,299.79
1990-09-18,301.071
1990-09-19,305.047
1990-09-20,305.5
1990-09-21,303.208
1990-09-22,302.948
1990-09-23,302.819
1990-09-24,303.406
1990-09-25,305.561
1990-09-26,306.626
1990-09-27,305.428
1990-09-28,305.699
1990-09-29,304.231
1990-09-30,306.19
1990-10-01,306.501
1990-10-02,305.531
1990-10-03,304.095
1990-10-04,303.381
1990-10-05,303.715
1990-10-06,303.005
1990-10-07,301.571
1990-10-08,295.747
1990-10-09,293.431
1990-10-10,294.365
1990-10-11,292.577
1990-10-12,296.614
1990-10-13,297.488
1990-10-14,296.847
1990-10-15,298.483
1990-10-16,295.861
1990-10-17,291.084
1990-10-18,292.109
1990-10-19,293.331
1990-10-20,295.17
1990-10-21,297.62
1990-10-22,299.264
1990-10-23,300.536
1990-10-24,300.277
1990-10-25,296.345
1990-10-26,301.096
1990-10-27,300.294
1990-10-28,295.508
1990-10-29,292.29
1990-10-30,292.476
1990-10-31,296.615
1990-11-01,292.577
1990-11-02,293.773
1990-11-03,296.592
1990-11-04,297.806
1990-11-05,297.131
1990-11-06,297.41
1990-11-07,296.464
1990-11-08,293.581
1990-11-09,294.977
1990-11-10,298.099
1990-11-11,297.072
1990-11-12,296.489
1990-11-13,299.009
1990-11-14,296.818
1990-11-15,294.424
1990-11-16,292.91
1990-11-17,289.677
1990-11-18,294.199
1990-11-19,294.857
1990-11-20,291.381
1990-11-21,287.898
1990-11-22,286.922
1990-11-23,283.311
1990-11-24,284.76
1990-11-25,286.887
1990-11-26,285.636
1990-11-27,288.098
1990-11-28,289.084
1990-11-29,287.265
1990-11-30,287.393
1990-12-01,290.534
1990-12-02,287.89
1990-12-03,291.858
1990-12-04,292.852
1990-12-05,293.679
1990-12-06,292.676
1990-12-07,293.512
1990-12-08,291.09
1990-12-09,291.251
1990-12-10,287.165
1990-12-11,287.338
1990-12-12,283.121
1990-12-13,280.961
1990-12-14,278.679
1990-12-15,280.968
1990-12-16,283.209
1990-12-17,284.567
1990-12-18,287.212
1990-12-19,290.885
1990-12-20,289.388
1990-12-21,282.4
1990-12-22,286.745
1990-12-23,282.877
1990-12-24,279.839
1990-12-25,277.439
1990-12-26,279.875
1990-12-27,283.97
1990-12-28,285.3
1990-12-29,277.975
1990-12-30,284.128
1990-12-31,286.136
1991-01-01,285.134
1991-01-02,281.402
1991-01-03,284.401
1991-01-04,286.536
1991-01-05,288.206
1991-01-06,283.441
1991-01-07,280.841
1991-01-08,284.014
1991-01-09,287.392
1991-01-10,284.274
1991-01-11,285.554
1991-01-12,287.321
1991-01-13,286.999
1991-01-14,288.075
1991-01-15,286.426
1991-01-16,288.338
1991-01-17,288.021
1991-01-18,287.117
1991-01-19,291.391
1991-01-20,293.075
1991-01-21,292.991
1991-01-22,292.54
1991-01-23,289.824
1991-01-24,290.966
1991-01-25,294.699
1991-01-26,293.361
1991-01-27,292.53
1991-01-28,288.579
1991-01-29,289.378
1991-01-30,287.478
1991-01-31,285.385
1991-02-01,287.224
1991-02-02,288.73
1991-02-03,288.002
1991-02-04,288.599
1991-02-05,287.229
1991-02-06,282.563
1991-02-07,280.54
1991-02-08,287.081
1991-02-09,285.9
1991-02-10,287.75
1991-02-11,291.02
1991-02-12,292.652
1991-02-13,291.621
1991-02-14,290.685
1991-02-15,287.264
1991-02-16,291.372
1991-02-17,290.427
1991-02-18,290.222
1991-02-19,289.879
1991-02-20,288.196
1991-02-21,286.616
1991-02-22,284.536
1991-02-23,284.205
1991-02-24,286.599
1991-02-25,286.024
1991-02-26,286.447
1991-02-27,286.264
1991-02-28,285.621
1991-03-01,284.241
1991-03-02,288.532
1991-03-03,291.78
1991-03-04,291.06
1991-03-05,293.316
1991-03-06,290.291
1991-03-07,292.596
1991-03-08,291.279
1991-03-09,292.146
1991-03-10,293.939
1991-03-11,293.758
1991-03-12,291.608
1991-03-13,290.258
1991-03-14,293.191
1991-03-15,292.63
1991-03-16,293.016
1991-03-17,298.562
1991-03-18,299.499
1991-03-19,298.592
1991-03-20,299.19
1991-03-21,296.862
1991-03-22,288.892
1991-03-23,287.16
1991-03-24,295.116
1991-03-25,299.167
1991-03-26,299.513
1991-03-27,300.117
1991-03-28,301.367
1991-03-29,299.863
1991-03-30,301.448
1991-03-31,300.235
1991-04-01,297.155
1991-04-02,298.948
1991-04-03,300.633
1991-04-04,295.166
1991-04-05,294.584
1991-04-06,293.553
1991-04-07,292.708
1991-04-08,293.687
1991-04-09,297.279
1991-04-10,299.606
1991-04-11,299.327
1991-04-12,294.296
1991-04-13,293.163
1991-04-14,298.685
1991-04-15,296.65
1991-04-16,296.124
1991-04-17,294.207
1991-04-18,296.833
1991-04-19,296.711
1991-04-20,297.463
1991-04-21,299.571
1991-04-22,297.41
1991-04-23,296.608
1991-04-24,291.321
1991-04-25,296.034
1991-04-26,296.817
1991-04-27,296.323
1991-04-28,295.647
1991-04-29,297.22
1991-04-30,296.82
1991-05-01,300.214
1991-05-02,300.541
1991-05-03,300.141
1991-05-04,298.86
1991-05-05,296.431
1991-05-06,296.729
1991-05-07,300.338
1991-05-08,299.557
1991-05-09,296.792
1991-05-10,299.87
1991-05-11,300.127
1991-05-12,302.601
1991-05-13,302.952
1991-05-14,306.479
1991-05-15,306.988
1991-05-16,305.413
1991-05-17,304.405
1991-05-18,303.725
1991-05-19,306.905
1991-05-20,307.238
1991-05-21,306.366
1991-05-22,306.927
1991-05-23,305.543
1991-05-24,302.588
1991-05-25,301.13
1991-05-26,304.307
1991-05-27,304.641
1991-05-28,304.756
1991-05-29,302.815
1991-05-30,304.747
1991-05-31,304.621
1991-06-01,305.012
1991-06-02,305.475
1991-06-03,303.6
1991-06-04,305.528
1991-06-05,308.048
1991-06-06,308.529
1991-06-07,308.51
1991-06-08,303.8
1991-06-09,301.506
1991-06-10,302.133
1991-06-11,302.012
1991-06-12,304.625
1991-06-13,304.281
1991-06-14,305.342
1991-06-15,305.179
1991-06-16,304.775
1991-06-17,304.373
1991-06-18,305.389
1991-06-19,306.261
1991-06-20,306.277
1991-06-21,308.759
1991-06-22,308.574
1991-06-23,309.318
1991-06-24,310.241
1991-06-25,309.855
1991-06-26,308.275
1991-06-27,304.815
1991-06-28,304.804
1991-06-29,308.315
1991-06-30,305.865
1991-07-01,308.018
1991-07-02,308.635
1991-07-03,304.512
1991-07-04,304.39
1991-07-05,305.286
1991-07-06,306.567
1991-07-07,306.7
1991-07-08,307.139
1991-07-09,306.941
1991-07-10,311.728
1991-07-11,309.136
1991-07-12,307.078
1991-07-13,305.152
1991-07-14,305.836
1991-07-15,304.893
1991-07-16,307.595
1991-07-17,308.236
1991-07-18,306.8
1991-07-19,303.965
1991-07-20,306.607
1991-07-21,307.495
1991-07-22,309.802
1991-07-23,309.274
1991-07-24,306.897
1991-07-25,306.524
1991-07-26,306.921
1991-07-27,306.605
1991-07-28,308.269
1991-07-29,310.15
1991-07-30,307.321
1991-07-31,303.173
1991-08-01,304.234
1991-08-02,305.38
1991-08-03,305.747
1991-08-04,307.144
1991-08-05,308.175
1991-08-06,308.309
1991-08-07,305.689
1991-08-08,305.863
1991-08-09,308.682
1991-08-10,308.36
1991-08-11,307.833
1991-08-12,306.829
1991-08-13,307.326
1991-08-14,306.935
1991-08-15,306.86
1991-08-16,305.828
1991-08-17,307.684
1991-08-18,307.69
1991-08-19,305.736
1991-08-20,306.434
1991-08-21,307.432
1991-08-22,305.734
1991-08-23,303.903
1991-08-24,304.923
1991-08-25,306.869
1991-08-26,307.455
1991-08-27,305.76
1991-08-28,305.121
1991-08-29,307.039
1991-08-30,308.498
1991-08-31,311.206
1991-09-01,308.732
1991-09-02,307.264
1991-09-03,303.943
1991-09-04,304.201
1991-09-05,305.247
1991-09-06,306.197
1991-09-07,306.356
1991-09-08,306.09
1991-09-09,305.122
1991-09-10,303.014
1991-09-11,301.665
1991-09-12,298.467
1991-09-13,298.645
1991-09-14,303.159
1991-09-15,302.867
1991-09-16,302.258
1991-09-17,301.881
1991-09-18,302.749
1991-09-19,298.08
1991-09-20,300.448
1991-09-21,301.276
1991-09-22,301.786
1991-09-23,301.036
1991-09-24,300.333
1991-09-25,300.636
1991-09-26,301.686
1991-09-27,300.732
1991-09-28,299.276
1991-09-29,299.6
1991-09-30,301.41
1991-10-01,300.849
1991-10-02,299.653
1991-10-03,299.072
1991-10-04,297.195
1991-10-05,300.411
1991-10-06,298.546
1991-10-07,297.802
1991-10-08,297.907
1991-10-09,299.803
1991-10-10,299.238
1991-10-11,298.607
1991-10-12,296.903
1991-10-13,295.638
1991-10-14,294.042
1991-10-15,291.914
1991-10-16,293.821
1991-10-17,291.483
1991-10-18,294.085
1991-10-19,296.484
1991-10-20,299.077
1991-10-21,298.228
1991-10-22,297.562
1991-10-23,296.465
1991-10-24,296.626
1991-10-25,297.38
1991-10-26,298.21
1991-10-27,297.335
1991-10-28,295.132
1991-10-29,290.973
1991-10-30,290.64
1991-10-31,290.44
1991-11-01,290.487
1991-11-02,289.157
1991-11-03,291.565
1991-11-04,295.742
1991-11-05,294.404
1991-11-06,296.628
1991-11-07,293.419
1991-11-08,294.348
1991-11-09,295.165
1991-11-10,295.918
1991-11-11,298.21
1991-11-12,297.618
1991-11-13,294.268
1991-11-14,293.662
1991-11-15,292.946
1991-11-16,295.624
1991-11-17,293.977
1991-11-18,293.848
1991-11-19,294.73
1991-11-20,293.573
1991-11-21,290.587
1991-11-22,288.259
1991-11-23,283.796
1991-11-24,286.977
1991-11-25,288.411
1991-11-26,290.09
1991-11-27,292.738
1991-11-28,285.951
1991-11-29,287.191
1991-11-30,290.359
1991-12-01,292.012
1991-12-02,291.655
1991-12-03,292.989
1991-12-04,293.44
1991-12-05,295.562
1991-12-06,295.448
1991-12-07,290.982
1991-12-08,286.828
1991-12-09,285.201
1991-12-10,286.826
1991-12-11,284.59
1991-12-12,286.864
1991-12-13,285.837
1991-12-14,283.219
1991-12-15,283.776
1991-12-16,287.498
1991-12-17,283.789
1991-12-18,285.088
1991-12-19,286.044
1991-12-20,284.781
1991-12-21,287.392
1991-12-22,284.212
1991-12-23,282.406
1991-12-24,281.932
1991-12-25,284.487
1991-12-26,285.544
1991-12-27,283.753
1991-12-28,286.891
1991-12-29,282.812
1991-12-30,278.709
1991-12-31,276.795
1992-01-01,279.518
1992-01-02,283.573
1992-01-03,281.295
1992-01-04,281.039
1992-01-05,281.27
1992-01-06,283.026
1992-01-07,287.106
1992-01-08,282.795
1992-01-09,278.879
1992-01-10,275.287
1992-01-11,274.132
1992-01-12,283.35
1992-01-13,287.585
1992-01-14,286.966
1992-01-15,286.086
1992-01-16,285.557
1992-01-17,281.848
1992-01-18,278.136
1992-01-19,283.133
1992-01-20,284.353
1992-01-21,283.872
1992-01-22,278.395
1992-01-23,278.741
1992-01-24,275.55
1992-01-25,281.939
1992-01-26,283.443
1992-01-27,286.97
1992-01-28,287.493
1992-01-29,291.855
1992-01-30,294.821
1992-01-31,292.912
1992-02-01,289.748
1992-02-02,287.784
1992-02-03,287.975
1992-02-04,289.944
1992-02-05,290.747
1992-02-06,291.537
1992-02-07,289.319
1992-02-08,294.328
1992-02-09,294.005
1992-02-10,289.767
1992-02-11,281.053
1992-02-12,283.016
1992-02-13,285.928
1992-02-14,286.0
1992-02-15,284.86
1992-02-16,286.155
1992-02-17,281.062
1992-02-18,283.59
1992-02-19,285.739
1992-02-20,289.761
1992-02-21,289.566
1992-02-22,289.721
1992-02-23,289.632
1992-02-24,287.785
1992-02-25,285.825
1992-02-26,288.945
1992-02-27,289.928
1992-02-28,286.797
1992-02-29,286.009
1992-03-01,285.222
1992-03-02,286.108
1992-03-03,293.207
1992-03-04,290.542
1992-03-05,287.678
1992-03-06,293.239
1992-03-07,295.87
1992-03-08,292.816
1992-03-09,290.94
1992-03-10,287.924
1992-03-11,289.26
1992-03-12,286.802
1992-03-13,285.714
1992-03-14,286.354
1992-03-15,291.271
1992-03-16,293.473
1992-03-17,294.455
1992-03-18,292.449
1992-03-19,293.477
1992-03-20,291.494
1992-03-21,287.355
1992-03-22,290.253
1992-03-23,292.256
1992-03-24,298.016
1992-03-25,295.3
1992-03-26,294.865
1992-03-27,298.259
1992-03-28,296.916
1992-03-29,290.542
1992-03-30,285.094
1992-03-31,283.009
1992-04-01,289.596
1992-04-02,287.638
1992-04-03,290.09
1992-04-04,288.243
1992-04-05,289.952
1992-04-06,294.589
1992-04-07,292.763
1992-04-08,291.564
1992-04-09,287.941
1992-04-10,290.245
1992-04-11,294.418
1992-04-12,297.998
1992-04-13,297.536
1992-04-14,297.167
1992-04-15,297.922
1992-04-16,300.153
1992-04-17,299.24
1992-04-18,295.579
1992-04-19,292.083
1992-04-20,295.013
1992-04-21,298.123
1992-04-22,299.815
1992-04-23,300.638
1992-04-24,299.82
1992-04-25,296.561
1992-04-26,288.481
1992-04-27,292.729
1992-04-28,291.725
1992-04-29,291.335
1992-04-30,291.986
1992-05-01,293.722
1992-05-02,291.279
1992-05-03,292.835
1992-05-04,293.694
1992-05-05,293.597
1992-05-06,295.594
1992-05-07,297.126
1992-05-08,296.352
1992-05-09,296.057
1992-05-10,295.669
1992-05-11,296.816
1992-05-12,297.244
1992-05-13,296.188
1992-05-14,295.4
1992-05-15,299.823
1992-05-16,297.925
1992-05-17,300.581
1992-05-18,301.151
1992-05-19,300.18
1992-05-20,295.903
1992-05-21,297.635
1992-05-22,300.046
1992-05-23,302.435
1992-05-24,302.311
1992-05-25,302.217
1992-05-26,302.372
1992-05-27,301.481
1992-05-28,302.557
1992-05-29,302.707
1992-05-30,304.238
1992-05-31,299.73
1992-06-01,296.762
1992-06-02,303.688
1992-06-03,302.216
1992-06-04,299.864
1992-06-05,302.863
1992-06-06,300.512
1992-06-07,299.68
1992-06-08,299.713
1992-06-09,300.4
1992-06-10,300.999
1992-06-11,301.784
1992-06-12,302.998
1992-06-13,303.974
1992-06-14,304.228
1992-06-15,304.005
1992-06-16,302.115
1992-06-17,304.675
1992-06-18,304.673
1992-06-19,304.657
1992-06-20,304.602
1992-06-21,302.688
1992-06-22,304.285
1992-06-23,306.398
1992-06-24,306.715
1992-06-25,307.344
1992-06-26,307.708
1992-06-27,310.121
1992-06-28,311.15
1992-06-29,308.305
1992-06-30,304.998
1992-07-01,305.551
1992-07-02,304.918
1992-07-03,303.648
1992-07-04,305.647
1992-07-05,305.384
1992-07-06,305.071
1992-07-07,304.289
1992-07-08,303.368
1992-07-09,305.219
1992-07-10,306.391
1992-07-11,306.64
1992-07-12,306.353
1992-07-13,305.879
1992-07-14,305.269
1992-07-15,304.501
1992-07-16,303.511
1992-07-17,304.662
1992-07-18,307.117
1992-07-19,306.869
1992-07-20,307.371
1992-07-21,307.674
1992-07-22,306.787
1992-07-23,308.43
1992-07-24,308.076
1992-07-25,307.927
1992-07-26,307.063
1992-07-27,305.431
1992-07-28,305.222
1992-07-29,304.415
1992-07-30,301.475
1992-07-31,299.768
1992-08-01,301.774
1992-08-02,302.609
1992-08-03,299.945
1992-08-04,302.051
1992-08-05,303.514
1992-08-06,302.77
1992-08-07,301.824
1992-08-08,301.621
1992-08-09,302.557
1992-08-10,300.621
1992-08-11,302.228
1992-08-12,303.378
1992-08-13,304.502
1992-08-14,304.449
1992-08-15,304.484
1992-08-16,296.803
1992-08-17,300.278
1992-08-18,302.166
1992-08-19,301.787
1992-08-20,299.861
1992-08-21,298.126
1992-08-22,299.164
1992-08-23,301.017
1992-08-24,301.327
1992-08-25,303.079
1992-08-26,302.586
1992-08-27,300.757
1992-08-28,303.195
1992-08-29,305.58
1992-08-30,305.284
1992-08-31,304.755
1992-09-01,304.913
1992-09-02,304.06
1992-09-03,304.031
1992-09-04,304.688
1992-09-05,304.519
1992-09-06,303.893
1992-09-07,303.756
1992-09-08,303.737
1992-09-09,303.574
1992-09-10,297.062
1992-09-11,299.183
1992-09-12,299.006
1992-09-13,301.798
1992-09-14,299.93
1992-09-15,301.682
1992-09-16,303.001
1992-09-17,304.29
1992-09-18,303.575
1992-09-19,301.569
1992-09-20,301.892
1992-09-21,300.314
1992-09-22,302.908
1992-09-23,303.203
1992-09-24,302.444
1992-09-25,303.227
1992-09-26,301.615
1992-09-27,302.319
1992-09-28,301.415
1992-09-29,301.909
1992-09-30,300.152
1992-10-01,295.631
1992-10-02,297.581
1992-10-03,301.194
1992-10-04,300.118
1992-10-05,295.336
1992-10-06,292.136
1992-10-07,295.015
1992-10-08,295.06
1992-10-09,294.658
1992-10-10,298.051
1992-10-11,297.815
1992-10-12,299.097
1992-10-13,300.291
1992-10-14,301.627
1992-10-15,302.677
1992-10-16,301.116
1992-10-17,301.61
1992-10-18,300.368
1992-10-19,300.273
1992-10-20,299.08
1992-10-21,294.443
1992-10-22,299.698
1992-10-23,297.355
1992-10-24,295.398
1992-10-25,302.096
1992-10-26,300.578
1992-10-27,300.307
1992-10-28,297.16
1992-10-29,298.976
1992-10-30,297.325
1992-10-31,298.56
1992-11-01,295.611
1992-11-02,292.491
1992-11-03,297.939
1992-11-04,299.836
1992-11-05,301.395
1992-11-06,296.607
1992-11-07,289.78
1992-11-08,285.376
1992-11-09,286.128
1992-11-10,294.751
1992-11-11,294.704
1992-11-12,293.077
1992-11-13,290.508
1992-11-14,293.711
1992-11-15,287.824
1992-11-16,287.196
1992-11-17,289.576
1992-11-18,290.739
1992-11-19,289.684
1992-11-20,289.59
1992-11-21,290.195
1992-11-22,288.851
1992-11-23,286.674
1992-11-24,286.326
1992-11-25,289.164
1992-11-26,290.691
1992-11-27,290.354
1992-11-28,288.56
1992-11-29,282.297
1992-11-30,281.657
1992-12-01,281.17
1992-12-02,283.874
1992-12-03,285.856
1992-12-04,286.821
1992-12-05,286.319
1992-12-06,283.653
1992-12-07,283.194
1992-12-08,283.631
1992-12-09,284.475
1992-12-10,283.394
1992-12-11,281.936
1992-12-12,282.281
1992-12-13,286.428
1992-12-14,287.001
1992-12-15,287.784
1992-12-16,288.931
1992-12-17,289.805
1992-12-18,283.254
1992-12-19,286.034
1992-12-20,283.804
1992-12-21,285.953
1992-12-22,289.065
1992-12-23,292.539
1992-12-24,288.127
1992-12-25,290.004
1992-12-26,286.661
1992-12-27,287.684
1992-12-28,289.04
1992-12-29,287.297
1992-12-30,284.755
1992-12-31,281.924
1993-01-01,280.288
1993-01-02,277.478
1993-01-03,277.996
1993-01-04,282.069
1993-01-05,277.567
1993-01-06,280.181
1993-01-07,277.691
1993-01-08,280.171
1993-01-09,280.59
1993-01-10,278.704
1993-01-11,278.402
1993-01-12,275.242
1993-01-13,283.941
1993-01-14,286.108
1993-01-15,286.976
1993-01-16,290.315
1993-01-17,288.737
1993-01-18,287.766
1993-01-19,290.407
1993-01-20,287.379
1993-01-21,290.638
1993-01-22,287.941
1993-01-23,284.237
1993-01-24,276.176
1993-01-25,275.749
1993-01-26,277.818
1993-01-27,276.837
1993-01-28,277.661
1993-01-29,276.74
1993-01-30,282.367
1993-01-31,281.649
1993-02-01,281.257
1993-02-02,284.997
1993-02-03,284.255
1993-02-04,286.021
1993-02-05,287.264
1993-02-06,284.741
1993-02-07,281.929
1993-02-08,281.54
1993-02-09,277.32
1993-02-10,278.252
1993-02-11,272.494
1993-02-12,280.931
1993-02-13,287.046
1993-02-14,286.838
1993-02-15,284.612
1993-02-16,285.982
1993-02-17,287.169
1993-02-18,284.904
1993-02-19,283.117
1993-02-20,287.703
1993-02-21,284.232
1993-02-22,284.629
1993-02-23,282.774
1993-02-24,282.973
1993-02-25,281.454
1993-02-26,281.726
1993-02-27,284.635
1993-02-28,286.136
1993-03-01,286.072
1993-03-02,286.206
1993-03-03,287.568
1993-03-04,288.036
1993-03-05,288.448
1993-03-06,289.607
1993-03-07,289.542
1993-03-08,295.472
1993-03-09,295.505
1993-03-10,294.64
1993-03-11,288.341
1993-03-12,288.414
1993-03-13,295.779
1993-03-14,295.008
1993-03-15,296.368
1993-03-16,295.475
1993-03-17,292.932
1993-03-18,290.725
1993-03-19,290.0
1993-03-20,288.946
1993-03-21,287.748
1993-03-22,285.304
1993-03-23,288.283
1993-03-24,287.076
1993-03-25,285.337
1993-03-26,291.692
1993-03-27,290.784
1993-03-28,290.297
1993-03-29,289.749
1993-03-30,285.483
1993-03-31,288.796
1993-04-01,291.299
1993-04-02,289.623
1993-04-03,288.502
1993-04-04,290.348
1993-04-05,294.189
1993-04-06,296.56
1993-04-07,300.644
1993-04-08,298.705
1993-04-09,294.099
1993-04-10,293.178
1993-04-11,293.948
1993-04-12,297.571
1993-04-13,300.267
1993-04-14,300.185
1993-04-15,299.415
1993-04-16,295.731
1993-04-17,288.842
1993-04-18,292.719
1993-04-19,295.314
1993-04-20,295.068
1993-04-21,298.349
1993-04-22,301.206
1993-04-23,301.501
1993-04-24,302.002
1993-04-25,301.372
1993-04-26,300.959
1993-04-27,300.357
1993-04-28,298.597
1993-04-29,299.029
1993-04-30,297.639
1993-05-01,297.512
1993-05-02,297.473
1993-05-03,297.11
1993-05-04,298.7
1993-05-05,297.353
1993-05-06,296.184
1993-05-07,298.148
1993-05-08,300.719
1993-05-09,300.395
1993-05-10,296.18
1993-05-11,298.343
1993-05-12,299.419
1993-05-13,300.823
1993-05-14,300.506
1993-05-15,302.815
1993-05-16,303.272
1993-05-17,301.604
1993-05-18,300.44
1993-05-19,302.193
1993-05-20,302.126
1993-05-21,300.506
1993-05-22,297.875
1993-05-23,298.913
