Date,ppt (inches),Degree C,Elevation,areastream
2000-09-01,2.19,13.39,1043,89916
2000-10-01,2.65,8.56,1043,89916
2000-11-01,1.19,-0.72,1043,89916
2000-12-01,1.03,-1.78,1043,89916
2001-01-01,1.24,-0.83,1043,89916
2001-02-01,0.8,-0.11,1043,89916
2001-03-01,1.42,4.44,1043,89916
2001-04-01,2.44,6.17,1043,89916
2001-05-01,1.63,12.61,1043,89916
2001-06-01,1.82,14,1043,89916
2001-07-01,0.93,19.33,1043,89916
2001-08-01,0.22,21.06,1043,89916
2001-09-01,0.29,17.39,1043,89916
2001-10-01,2.51,8.94,1043,89916
2001-11-01,1.86,5.39,1043,89916
2001-12-01,1.39,-1.22,1043,89916
2002-01-01,1.78,-0.44,1043,89916
2002-02-01,1.1,0.83,1043,89916
2002-03-01,2.45,1.17,1043,89916
2002-04-01,1.48,7.06,1043,89916
2002-05-01,1.66,10.56,1043,89916
2002-06-01,2.17,15.78,1043,89916
2002-07-01,0.41,21.17,1043,89916
2002-08-01,0.87,17.94,1043,89916
2002-09-01,0.69,15.5,1043,89916
2002-10-01,0.76,7.22,1043,89916
2002-11-01,1,4.06,1043,89916
2002-12-01,1.58,0.94,1043,89916
2003-01-01,3.08,2.5,1043,89916
2003-02-01,2.4,0.61,1043,89916
2003-03-01,3.25,4.72,1043,89916
2003-04-01,2.3,7.39,1043,89916
2003-05-01,2.39,11.06,1043,89916
2003-06-01,0.51,16.72,1043,89916
2003-07-01,0.32,22.28,1043,89916
2003-08-01,0.71,21.22,1043,89916
2003-09-01,0.92,16.44,1043,89916
2003-10-01,0.64,11.78,1043,89916
2003-11-01,1.48,0.39,1043,89916
2003-12-01,2.43,0.44,1043,89916
2004-01-01,2.16,-0.67,1043,89916
2004-02-01,1.33,1.39,1043,89916
2004-03-01,0.82,6.56,1043,89916
2004-04-01,1.65,9,1043,89916
2004-05-01,4.67,11.06,1043,89916
2004-06-01,1.88,15.72,1043,89916
2004-07-01,0.76,20.78,1043,89916
2004-08-01,2.11,20.17,1043,89916
2004-09-01,1.31,14.11,1043,89916
2004-10-01,1.45,9.39,1043,89916
2004-11-01,1.43,3.72,1043,89916
2004-12-01,0.95,1.61,1043,89916
2005-01-01,0.95,0.5,1043,89916
2005-02-01,0.35,2.22,1043,89916
2005-03-01,1.53,5.78,1043,89916
2005-04-01,2.14,7.83,1043,89916
2005-05-01,3.81,12.28,1043,89916
2005-06-01,1.86,14.17,1043,89916
2005-07-01,0.36,20.44,1043,89916
2005-08-01,0.13,20.61,1043,89916
2005-09-01,0.25,13.83,1043,89916
2005-10-01,1.71,9.94,1043,89916
2005-11-01,1.8,2.78,1043,89916
2005-12-01,1.88,-1.72,1043,89916
2006-01-01,2.43,2.33,1043,89916
2006-02-01,0.8,-0.22,1043,89916
2006-03-01,1.88,3.22,1043,89916
2006-04-01,2.6,7.83,1043,89916
2006-05-01,2.1,12.83,1043,89916
2006-06-01,2.09,16.44,1043,89916
2006-07-01,0.29,22.56,1043,89916
2006-08-01,0.34,19.78,1043,89916
2006-09-01,1.45,15.56,1043,89916
2006-10-01,0.78,9,1043,89916
2006-11-01,3.42,3.28,1043,89916
2006-12-01,1.62,0.17,1043,89916
2007-01-01,1.11,-2.78,1043,89916
2007-02-01,1.85,2.28,1043,89916
2007-03-01,1.58,6.39,1043,89916
2007-04-01,1.51,8.11,1043,89916
2007-05-01,1.36,12.17,1043,89916
2007-06-01,1.41,15.83,1043,89916
2007-07-01,0.17,22.94,1043,89916
2007-08-01,0.42,19.28,1043,89916
2007-09-01,0.45,14.94,1043,89916
2007-10-01,1.56,8.83,1043,89916
2007-11-01,2.3,3,1043,89916
2007-12-01,2.38,-1.22,1043,89916
2008-01-01,1.74,-2.39,1043,89916
2008-02-01,1.22,1.78,1043,89916
2008-03-01,1.88,2.5,1043,89916
2008-04-01,1.48,5.06,1043,89916
2008-05-01,2.05,11.83,1043,89916
2008-06-01,1.6,14.33,1043,89916
2008-07-01,0.27,20.17,1043,89916
2008-08-01,1.42,19.89,1043,89916
2008-09-01,0.81,15.33,1043,89916
2008-10-01,0.54,9.61,1043,89916
2008-11-01,2.42,5.72,1043,89916
2008-12-01,2.65,-2.83,1043,89916
2009-01-01,2.61,-0.67,1043,89916
2009-02-01,0.99,2.11,1043,89916
2009-03-01,3.47,1.39,1043,89916
2009-04-01,1.88,6.89,1043,89916
2009-05-01,2.06,12.06,1043,89916
2009-06-01,1.87,16.11,1043,89916
2009-07-01,0.78,20.56,1043,89916
2009-08-01,1.68,20.39,1043,89916
2009-09-01,0.16,17.83,1043,89916
2009-10-01,1.54,6.5,1043,89916
2009-11-01,1.31,3.78,1043,89916
2009-12-01,1.19,-3.56,1043,89916
2010-01-01,1.76,2.44,1043,89916
2010-02-01,0.81,2.78,1043,89916
2010-03-01,1.49,5.33,1043,89916
2010-04-01,2.5,7.39,1043,89916
2010-05-01,2.63,9.33,1043,89916
2010-06-01,4.14,14.28,1043,89916
2010-07-01,0.35,19.11,1043,89916
2010-08-01,0.35,19.33,1043,89916
2010-09-01,1.41,14.94,1043,89916
2010-10-01,1.84,10.33,1043,89916
2010-11-01,1.82,2.11,1043,89916
2010-12-01,2.79,0.44,1043,89916
2011-01-01,1.76,0.11,1043,89916
2011-02-01,1.78,-1.17,1043,89916
2011-03-01,3.11,3.56,1043,89916
2011-04-01,3.19,4.94,1043,89916
2011-05-01,3.76,9.56,1043,89916
2011-06-01,2.02,13.94,1043,89916
2011-07-01,0.58,17.78,1043,89916
2011-08-01,0.09,20.94,1043,89916
2011-09-01,0.22,18.17,1043,89916
2011-10-01,1.77,9.61,1043,89916
2011-11-01,1.24,2.61,1043,89916
2011-12-01,1.14,0.06,1043,89916
2012-01-01,2.03,0.5,1043,89916
2012-02-01,1.42,1.11,1043,89916
2012-03-01,4.38,3.78,1043,89916
2012-04-01,2.52,8.83,1043,89916
2012-05-01,1.88,10.89,1043,89916
2012-06-01,2.83,14.44,1043,89916
2012-07-01,0.91,20.83,1043,89916
2012-08-01,0,21.22,1043,89916
2012-09-01,0,16.89,1043,89916
2012-10-01,2.89,8.78,1043,89916
2012-11-01,2.12,5.06,1043,89916
2012-12-01,1.82,0.17,1043,89916
2013-01-01,1.35,-1.78,1043,89916
2013-02-01,0.73,1.67,1043,89916
2013-03-01,1.27,4.56,1043,89916
2013-04-01,2.07,7.44,1043,89916
2013-05-01,1.29,12.39,1043,89916
2013-06-01,2.41,15.61,1043,89916
2013-07-01,0.11,22.06,1043,89916
2013-08-01,0.63,21.28,1043,89916
2013-09-01,2.65,17.06,1043,89916
2013-10-01,0.48,7.89,1043,89916
2013-11-01,1.43,3.06,1043,89916
2013-12-01,1.52,-2,1043,89916
